model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
MC Dropout 30% (09),p25_02,0.9425455331802368,0.0004275119863450527,33.69051704256187,0.013392411172389984,0.9411977661980523,33.54325769629049,0.0004422565624635253,0.013604601017302938,0.0027801499236375093,0.0038398660253733397,0.20492029623362176,0.642634391784668,0.478689968585968,0.010897995
MC Dropout 30% (09),p25_03,0.9348160028457642,0.0005197322461754084,32.84220337051313,0.014523851685225964,0.9331550598144531,32.688394606577994,0.0005384689235749344,0.014772427578767141,0.0031521953642368317,0.004328587558120489,0.18017189951158655,0.670296847820282,0.49497663974761963,0.012356358
MC Dropout 30% (09),p25_04,0.9217543601989746,0.0007146032876335084,31.459349900957854,0.016337597742676735,0.9197589225239224,31.303619731729082,0.000740692957252678,0.01661671346260442,0.003572040004655719,0.005107805598527193,0.13248693818818863,0.7038409113883972,0.5448381900787354,0.014002157
MC Dropout 30% (09),p26_01,0.9053537249565125,0.0009923777543008327,30.033229796806413,0.019267622381448746,0.9038418995009528,29.93459805183281,0.0010151734523889092,0.019483151121271983,0.0032834336161613464,0.004774488974362612,0.19489227150395455,0.6889303922653198,0.48850417137145996,0.012870814
MC Dropout 30% (09),p27_01,0.953482985496521,0.0003320220566820353,34.788330645576686,0.011639530770480633,0.9519592788484361,34.612216218465434,0.00034576300660976104,0.01184692761550347,0.00264394236728549,0.0037068775855004787,0.2060507929366972,0.5949591398239136,0.5314968228340149,0.010364068
MC Dropout 30% (09),p28_01,0.8448526263237,0.0016032118583098054,27.950090835003067,0.02811369299888611,0.8433460460768806,27.868889112179797,0.0016334698690722387,0.028357532289293077,0.004211737308651209,0.005500726401805878,0.28405554031493774,0.5094863176345825,0.38348010182380676,0.01650973
MC Dropout 30% (09),p28_02,0.9458915591239929,0.0004869330732617527,33.12530726486617,0.014185391366481781,0.9443469511138068,32.941133053433674,0.0005080270412791935,0.014475362271898322,0.0033607403747737408,0.004592816811054945,0.21316738708522337,0.6087640523910522,0.5131617188453674,0.013173869
MC Dropout 30% (09),p29_01,0.9418331384658813,0.00052910071099177,32.76461654873925,0.014749215915799141,0.9403585526678298,32.58981488585394,0.0005508313576380411,0.015030993873046504,0.003388484474271536,0.0046616168692708015,0.17843439249252271,0.6471951007843018,0.5238543748855591,0.0132826045
MC Dropout 30% (09),p29_02,0.9374348521232605,0.0005787493428215384,32.37509489121535,0.015289654955267906,0.9356672366460165,32.17432483055539,0.0006061325224840806,0.015624138112697337,0.003797923680394888,0.005232890602201223,0.16423516275755365,0.6518719792366028,0.5376591682434082,0.014887559
MC Dropout 30% (09),p30_01,0.9297157526016235,0.000561143911909312,32.50925744567434,0.014936698600649834,0.9281389117240906,32.37615150999314,0.0005786088295280933,0.015142725677125983,0.0029569370672106743,0.004179104696959257,0.15465757509818914,0.6582223176956177,0.5353075265884399,0.011590978
MC Dropout 30% (09),p30_02,0.9367740750312805,0.000469594553578645,33.28276948737565,0.014023477211594582,0.9352915154563056,33.146605429710476,0.00048455110906312865,0.014221432722277112,0.0028034537099301815,0.003867373801767826,0.20342987129685558,0.6197986006736755,0.5083704590797424,0.010989344
