model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
Ensemble (05),p14_03,0.9457791447639465,0.00046319703687913716,33.342342274998686,0.014177110977470875,0.9366555094718934,32.41004301323403,0.0005744304042309522,0.015741504170000552,0.008043927140533924,0.010546722449362278,0.22098301575353674,0.6262458562850952,0.47905200719833374,0.03153161
Ensemble (05),p23_01,0.927591860294342,0.0007753323880024254,31.105120738443183,0.0185213815420866,0.9183285474777222,30.372848501364295,0.000917801377363503,0.020196786150336266,0.009375917725265026,0.011936038732528687,0.2409771762792481,0.5943977236747742,0.46812188625335693,0.03675291
Ensemble (05),p23_02,0.9260513186454773,0.0009804649744182825,30.08567916211969,0.020639048889279366,0.915362811088562,29.368241725533608,0.0011570024769753217,0.022504402324557304,0.010503855533897877,0.013286745175719261,0.2298735237030087,0.5912479162216187,0.4864933490753174,0.041174363
Ensemble (05),p06_01,0.8788827061653137,0.0017875557532534003,27.47740403819081,0.031126845628023148,0.8682667255401612,26.957170274457248,0.002015262469649315,0.03305322676897049,0.013083500787615776,0.015089950524270535,0.3861313544066427,0.28345751762390137,0.3078346848487854,0.05128643
Ensemble (05),p06_02,0.9042378664016724,0.001205338747240603,29.188908822320677,0.026085490360856056,0.8941637277603149,28.627596963071834,0.0013723561773076654,0.027819178253412246,0.011336668394505978,0.0129235265776515,0.42962592940494004,0.21905331313610077,0.24230358004570007,0.04443893
Ensemble (05),p16_01,0.9382240176200867,0.0005232518306002021,32.81289243604324,0.016959358006715775,0.9289269089698792,32.0578089836906,0.0006227824836969375,0.01845487058162689,0.008569365367293358,0.009976505301892757,0.3561290867737459,0.31336987018585205,0.2850732207298279,0.033591293
Ensemble (05),p18_01,0.9377428293228149,0.0005737126339226961,32.413055862645045,0.01528963539749384,0.9273103475570679,31.413886812945258,0.0007224507862702012,0.017222995311021803,0.009214379824697971,0.012195821851491928,0.21138447825400677,0.648472249507904,0.4767894744873047,0.036119707
Ensemble (05),p22_01,0.8998807668685913,0.0012009642086923122,29.204699353107063,0.024698449298739433,0.8885211944580078,28.61921680471978,0.0013743332354351878,0.02641850933432579,0.010993079282343388,0.013166968710720539,0.30081159250767503,0.44628047943115234,0.3827945590019226,0.04309205
Ensemble (05),p26_01,0.9206103086471558,0.0009614945156499743,30.170531886275246,0.019999638199806213,0.909409761428833,29.389198483365515,0.0011518012965098024,0.02198733016848564,0.010532351210713387,0.013795174658298492,0.22556975525279827,0.6301701068878174,0.45286622643470764,0.041286036
Ensemble (05),p26_02,0.9277540445327759,0.0006107250810600817,32.14154244172589,0.01810830645263195,0.9171501517295837,31.331991783874876,0.0007359704817645252,0.019791458174586295,0.00934380292892456,0.011191305704414845,0.3199507080190731,0.3796849846839905,0.32522040605545044,0.036627047
Ensemble (05),p26_03,0.8918251395225525,0.0011736373417079449,29.304660809646126,0.02446891739964485,0.8750595688819885,28.47205675250156,0.0014220667304471134,0.026879335567355157,0.013061442412436008,0.015761639922857285,0.30854840477051776,0.4261118471622467,0.3740609288215637,0.051199906
Ensemble (05),p27_01,0.8951772451400757,0.0015770640457049012,28.021506693017674,0.026054518297314644,0.8758695483207702,27.112558225464692,0.001944798999466002,0.02897535264492035,0.015116565860807896,0.019176416099071503,0.20928268370272454,0.64735347032547,0.49557995796203613,0.059255857
