model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Ensemble (04),0.9375570961407252,0.021839057279771996,0.0005316696433250143,0.0002776859940638431,33.19009888153344,1.9192585658297803,0.014124043072972934,0.0035111071498166112,0.9318700773375375,0.021800319599115985,32.64518729110514,1.805770523618328,0.0005954623981129028,0.0002885009274799765,0.014901361913819357,0.003516588519501669,0.005333738295095257,0.0007202205750036632,0.007929255746837125,0.0009729889498705483,0.20031077705709008,0.039448829303816144,0.6202064505645207,0.05213477835136203,0.4759246953896114,0.039837947301938514,0.020907869228571428,0.0028232121538988297
Ensemble (05),0.9379209603582109,0.021838947475914222,0.0005262114278073543,0.0002770216187629772,33.24212752297912,1.9354098750333215,0.014057473519018659,0.003513984606353565,0.9318883541652133,0.021822878014286694,32.65497303043786,1.812016838443894,0.0005944317782164172,0.00028849146465152975,0.014881538711488201,0.0035180857140534112,0.005610274816197969,0.0007443731602524472,0.008200489503464475,0.0010004636031308329,0.18953340596649723,0.038337739164864014,0.6323909716946738,0.048003734573017855,0.4879045477935246,0.04072749822589659,0.021991875485714286,0.0029178908168712363
Ensemble (06),0.9378480434417724,0.021565432651134624,0.0005267552873451857,0.0002741676626127344,33.22305601058558,1.8993584089178628,0.014080818689295175,0.0034657933855696942,0.9310674111048379,0.02122435129707473,32.58285490623148,1.7479800171808526,0.0006038797158647599,0.0002820372334704422,0.014987337261083531,0.0034348902051742525,0.005996441920953088,0.0008376213746032499,0.008692832410867674,0.0012668673834791487,0.18279588266728777,0.03745148199111688,0.6378895580768585,0.04496601215225062,0.5010452832494463,0.0416735279195755,0.02350561922857143,0.0032834108286682547
Ensemble (07),0.9381578820092338,0.02164601815677801,0.0005240491603866514,0.0002746136952305043,33.25154610758445,1.9130090777284396,0.014051872066089035,0.0034768693082629677,0.9312902606263453,0.02131675694659853,32.59888331195644,1.7592315399120886,0.0006019475530091228,0.0002830979905410319,0.014973860846034071,0.003447031516731786,0.006095703850899377,0.0008181581252134861,0.008745234393115503,0.0012087279034670583,0.17887113433655177,0.03714077987403608,0.6411306287561144,0.044088030155264954,0.5081580272742681,0.041319967257149745,0.023894724685714283,0.003207122504265636
Evidential (01),0.9375916923795428,0.022998447628190793,0.0005181225923089114,0.0002832874941470302,33.33709068080562,1.9899508243455153,0.013824016254927384,0.0035885972691892683,0.9375916923795428,0.022998447628190793,33.33709068080562,1.9899508243455153,0.0005181225923089114,0.0002832874941470302,0.013824016254927384,0.0035885972691892683,0.018537508004478002,0.004165006956304324,0.02296019483889847,0.0053254891849815545,0.18257102901715266,0.03587174875308275,0.6291137371744429,0.049533796600740754,0.5217975165162768,0.058978635651305907,0.07266567842857143,0.01632650649108872
MC Dropout 30% (02),0.9397978782653809,0.022441461510308253,0.0004955858353890657,0.00027407077590013994,33.53397430093397,1.990812672864989,0.013658605436129184,0.003544979621828715,0.9390463709831238,0.02251732363823547,33.457660641217174,1.9842410627911586,0.0005039561290426485,0.00027722673447981664,0.013767686166933548,0.0035582844407720995,0.0016382645050595458,0.00045374571362199177,0.002787601299184717,0.0007856216922028785,0.32771931060140574,0.04052024391278803,0.4964195643152509,0.048978745673560406,0.36294779011181416,0.0356328607732516,0.006421881102857143,0.001778651872843496
MC Dropout 30% (03),0.9400493162018912,0.022416594975410105,0.0004928205070817172,0.0002730154793310321,33.559508229443104,1.9931498524354083,0.01362183772559671,0.003540381961920552,0.9390467848096575,0.02251658936341559,33.45743134832163,1.9842205372132304,0.0005039771993843629,0.00027720293745168794,0.013767642696343669,0.003557992003571875,0.0021019888808950287,0.0005816088413213242,0.0032187968459246002,0.0009052305881286425,0.24715205800616213,0.03745125115664756,0.5755446229662214,0.04655139584205704,0.43096583655902315,0.03947392824934127,0.008239647157142857,0.002279864668164461
MC Dropout 30% (04),0.9401759215763636,0.022405703003954364,0.0004914334147802229,0.0002725428271499562,33.57250127920963,1.9945421773791097,0.01360345751579314,0.003538371719279314,0.9390474051237107,0.022518308165522683,33.45749375105229,1.9845080774779467,0.0005039871198407372,0.00027726087810935393,0.013767747800531086,0.0035583401062156965,0.00231879663188006,0.0006427246800493766,0.0034140032549787314,0.000961617335429799,0.22168409057164257,0.03632856484216159,0.60234814286232,0.04485173081103826,0.46227360538073947,0.04085689641847954,0.009089515905714286,0.0025194337948425904
MC Dropout 30% (05),0.9402502366474697,0.022398617778137116,0.0004906146284025943,0.000272234625932447,33.580159106859846,1.9953682168060791,0.013592493081731409,0.003537089217161887,0.9390465695517404,0.02251813957143995,33.457408690367515,1.9845974071437305,0.0005039995823088315,0.00027726164757469715,0.013767851458064103,0.0035583371272468038,0.002443815122491494,0.0006774221111959837,0.003525268974980014,0.0009927631825649807,0.20947937797112154,0.03573646707205789,0.6155508245740619,0.04393778125778407,0.4801596633025578,0.04154145814557417,0.009579579462857143,0.0026554488194854343
MC Dropout 30% (06),0.940299437727247,0.022394298658589207,0.0004900554656549514,0.0002720270651764215,33.58533273301348,1.9957326309129233,0.013585127597408587,0.003536169856394617,0.9390454561937424,0.02251828284893101,33.45736362336894,1.984474095025409,0.0005039999400087714,0.00027726195187045637,0.013767932985155305,0.003558283163641912,0.0025256457239655116,0.0007004937428545789,0.0035980799601279803,0.001013733285646612,0.20233727537289253,0.0353806255668008,0.6234080416815622,0.04337247854424182,0.49182632310049873,0.04195853877063197,0.00990034842857143,0.0027458847759258254
