model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
MC Dropout 15% (03),0.9000494980812073,0.03197420720717281,0.0013186393643263728,0.0006752185929270785,29.37807621046843,2.350172169281906,0.024937023408710957,0.007429190986478291,0.8976509737968444,0.032089109969327054,29.22541460792513,2.312979787736476,0.0013604695326648653,0.0006872699063037025,0.025345808950563275,0.007457117222253208,0.004937411854043603,0.0009785265023022367,0.006382202319800853,0.0010693034242871186,0.3422716168217702,0.09695889577495537,0.4106791937351227,0.17535618595481087,0.316133120059967,0.0951454765027085,0.019354299,0.00383575
MC Dropout 15% (04),0.900346245765686,0.031966645320808444,0.0013135020376648754,0.0006738603385591263,29.39737476138806,2.355190413807331,0.02488591481000185,0.007426930506467391,0.8976461178064347,0.03209715243134773,29.225258960545787,2.3131576986204916,0.0013605555350659415,0.0006874317020410108,0.025346521008759736,0.007458206948075162,0.00544511235319078,0.0010801693644259625,0.0067687899805605415,0.001135115155687075,0.3230030930641108,0.0940928789236479,0.43096245646476744,0.17318009233606899,0.34878151714801786,0.09910320016452685,0.021344448,0.004234186
MC Dropout 15% (05),0.9005307245254517,0.03196598755387433,0.0013104393251705915,0.0006732308308896787,29.409152830497113,2.358610720857116,0.024855112098157404,0.007427152551217923,0.897649130821228,0.03210276031021277,29.22526949620856,2.3134752176004247,0.0013606183079537004,0.0006876715199365482,0.025346901692450047,0.0074600593457032904,0.0057386400550603865,0.0011368372695338834,0.006990185603499412,0.0011709456474177015,0.31203774318117394,0.09218149998352229,0.44360792756080625,0.17115615578622814,0.3694319820404053,0.10068207007139249,0.022495056,0.004456321
MC Dropout 15% (06),0.9006528973579406,0.03196050282295583,0.0013083787995856256,0.0006726290924361844,29.41692397083159,2.3606988522375296,0.02483477585017681,0.007426030640521779,0.8976506233215332,0.03210278013866059,29.225151604357283,2.3135377558735604,0.001360661226014296,0.0006876904046225981,0.025347377775857844,0.007460295942283214,0.005930290948599577,0.0011758242059951077,0.007135028969496488,0.0011962517292248552,0.30444242555272377,0.09068797731465778,0.45257939398288727,0.16953633011062363,0.38370163321495054,0.10132655131203973,0.023246313,0.0046091457
MC Dropout 15% (07),0.900738754272461,0.031958185491133564,0.0013069214147981257,0.000672298421465509,29.422506216294327,2.36224350668141,0.024820062257349493,0.007425709659664581,0.8976501737322126,0.03210467445723097,29.225131591356327,2.313715687797619,0.0013607011148373462,0.0006878052713399887,0.02534751539251634,0.007461022092594973,0.006064903512597084,0.0012029284875124842,0.007236393988132477,0.0012137702060729821,0.2988909853957428,0.089465899101121,0.45928394436836245,0.16813090491215024,0.39420138239860536,0.10146361334801211,0.023773985,0.0047153933
MC Dropout 15% (08),0.9008053374290467,0.03195619661239467,0.001305761090479791,0.000672052011795672,29.426992271872265,2.3635674101486552,0.024808512665331364,0.007425474306375511,0.8976512199640274,0.03210584975913733,29.225361218467498,2.3140008298844497,0.0013606729879393242,0.0006878864672473886,0.025347248553298413,0.007461489091701874,0.006165376398712397,0.0012228780023025563,0.007312145419418812,0.0012266241873614078,0.2946795880578812,0.08844144328607281,0.464440712928772,0.166928681633416,0.4021364706754684,0.10134278143690699,0.024167834,0.004793595
MC Dropout 15% (09),0.9008545565605164,0.031951838228327735,0.0013049229024909438,0.0006717861630586542,29.430073919182085,2.364183081460748,0.024800110571086408,0.007424470411185796,0.8976501210530599,0.032102728555081894,29.225160930726798,2.3137179855736547,0.0013606993107694303,0.0006878549634702152,0.025347506747477586,0.007460842565485825,0.0062419757060706614,0.0012372378350994499,0.007369673456996679,0.0012350432310683447,0.29133178329162407,0.08765466126028902,0.4685907971858978,0.16595099132532085,0.4084111100435257,0.10122828172135145,0.024468092,0.0048498777
MC Dropout 15% (10),0.900896520614624,0.031945561789556425,0.0013041526603046806,0.0006714325712953788,29.43273965269234,2.3644282960475405,0.02479260690510273,0.007422821454197436,0.8976521530151368,0.03209791290049744,29.225207359120418,2.313291474365702,0.001360620974563062,0.0006876944546925545,0.025346926942467693,0.007459537351295845,0.006302804984152317,0.0012487483802194445,0.007415351197123527,0.0012420082436661705,0.28860698538368107,0.08695695577451142,0.47198751211166384,0.16514448300141554,0.41351388812065126,0.10103184492767925,0.024706542,0.0048950072
MC Dropout 15% (15),0.9010134172439576,0.03194011807277581,0.0013021112140268088,0.0006708610009522582,29.440457805618898,2.3664100484996515,0.024772171899676322,0.007421581391493906,0.8976474952697754,0.032097641094536715,29.224961656465386,2.3132144690236296,0.0013606855363274613,0.0006877076095855389,0.025347519114613536,0.007459288674356912,0.0064847606793045996,0.001283832847668355,0.007552457600831985,0.0012643654291996,0.28022852828757494,0.08473719594812285,0.48267732203006747,0.16242854986467944,0.42923410892486574,0.10010844932766749,0.0254198,0.00503253
MC Dropout 15% (20),0.9010735893249512,0.03194034254882026,0.0013011369539890438,0.000670625289851446,29.44424638687964,2.367586482122425,0.024762126505374907,0.007421327948700622,0.8976468797922135,0.03210085464518741,29.224805022537684,2.3134096224385874,0.0013607590286410414,0.0006877700712770483,0.02534803973324597,0.007459766922649904,0.0065745700895786284,0.0013014815695641462,0.007619705144315958,0.0012756377972372105,0.275927655325074,0.08350904229935253,0.48823566138744356,0.16086496144846596,0.4372770130634308,0.09936842880111474,0.025771845,0.0051017134
